ID                                      0x8c6b
Delivery_person_ID             COIMBRES11DEL02
Delivery_person_Age                  23.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.001753
Restaurant_longitude                 76.986241
Delivery_location_latitude           11.131753
Delivery_location_longitude          77.116241
Order_Date                          10-03-2022
Time_Orderd                              17:55
Time_Order_picked                        17:60
Weather conditions                       Windy
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     22.000000
Name: 42381, dtype: object
