ID                                      0x2d2a
Delivery_person_ID             COIMBRES01DEL03
Delivery_person_Age                  30.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.016298
Restaurant_longitude                 76.972076
Delivery_location_latitude           11.106298
Delivery_location_longitude          77.062076
Order_Date                          16-03-2022
Time_Orderd                              22:20
Time_Order_picked                        22:35
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     17.000000
Name: 315, dtype: object
