ID                                      0xa3c6
Delivery_person_ID             COIMBRES12DEL02
Delivery_person_Age                  39.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.000762
Restaurant_longitude                 76.981876
Delivery_location_latitude           11.050762
Delivery_location_longitude          77.031876
Order_Date                          28-03-2022
Time_Orderd                              22:20
Time_Order_picked                        22:35
Weather conditions                       Windy
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     21.000000
Name: 9944, dtype: object
