ID                                       0x3fee
Delivery_person_ID                SURRES18DEL03
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   21.149834
Restaurant_longitude                  72.778666
Delivery_location_latitude            21.209834
Delivery_location_longitude           72.838666
Order_Date                           03-03-2022
Time_Orderd                               22:35
Time_Order_picked                         22:40
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      17.000000
Name: 37039, dtype: object
