ID                                       0x8e53
Delivery_person_ID               PUNERES01DEL01
Delivery_person_Age                   28.000000
Delivery_person_Ratings                2.600000
Restaurant_latitude                   18.569156
Restaurant_longitude                  73.774723
Delivery_location_latitude            18.679156
Delivery_location_longitude           73.884723
Order_Date                           23-03-2022
Time_Orderd                               23:35
Time_Order_picked                         23:40
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      34.000000
Name: 43824, dtype: object
