ID                                        0x6af
Delivery_person_ID               CHENRES01DEL03
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   13.005801
Restaurant_longitude                  80.250744
Delivery_location_latitude            13.095801
Delivery_location_longitude           80.340744
Order_Date                           31-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         22:15
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      12.000000
Name: 22489, dtype: object
