ID                                      0x14ed
Delivery_person_ID             COIMBRES08DEL02
Delivery_person_Age                  39.000000
Delivery_person_Ratings               3.600000
Restaurant_latitude                  11.001852
Restaurant_longitude                 76.976268
Delivery_location_latitude           11.131852
Delivery_location_longitude          77.106268
Order_Date                          02-04-2022
Time_Orderd                              21:35
Time_Order_picked                        21:45
Weather conditions                       Windy
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     37.000000
Name: 35278, dtype: object
