ID                                       0xc8b1
Delivery_person_ID                AGRRES05DEL03
Delivery_person_Age                   38.000000
Delivery_person_Ratings                3.600000
Restaurant_latitude                   27.201725
Restaurant_longitude                  78.007553
Delivery_location_latitude            27.291725
Delivery_location_longitude           78.097553
Order_Date                           18-02-2022
Time_Orderd                               21:35
Time_Order_picked                         21:40
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      41.000000
Name: 3411, dtype: object
