ID                                       0xc8d5
Delivery_person_ID               AURGRES07DEL01
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   19.875908
Restaurant_longitude                  75.358888
Delivery_location_latitude            19.985908
Delivery_location_longitude           75.468888
Order_Date                           18-02-2022
Time_Orderd                               20:15
Time_Order_picked                         20:25
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      22.000000
Name: 4487, dtype: object
