ID                                       0xc866
Delivery_person_ID               LUDHRES16DEL02
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   30.895817
Restaurant_longitude                  75.813112
Delivery_location_latitude            30.915817
Delivery_location_longitude           75.833112
Order_Date                           13-02-2022
Time_Orderd                               11:50
Time_Order_picked                         12:05
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                    NaN
City                                        NaN
Time_taken (min)                      11.000000
Name: 17901, dtype: object
