ID                                       0xa9ee
Delivery_person_ID             RANCHIRES14DEL02
Delivery_person_Age                       28.00
Delivery_person_Ratings                    4.80
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.02
Delivery_location_longitude                0.02
Order_Date                           30-03-2022
Time_Orderd                               11:55
Time_Order_picked                         12:05
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             1
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          20.00
Name: 16566, dtype: object
