ID                                        0x809b
Delivery_person_ID             RANCHIRES010DEL01
Delivery_person_Age                    21.000000
Delivery_person_Ratings                 5.000000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.364422
Delivery_location_longitude            85.342900
Order_Date                            09-03-2022
Time_Orderd                                 9:35
Time_Order_picked                           9:50
Weather conditions                         Sunny
Road_traffic_density                         Low
Vehicle_condition                              1
Type_of_order                              Snack
Type_of_vehicle                       motorcycle
multiple_deliveries                     0.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       17.000000
Name: 39559, dtype: object
