ID                                    0xcd2b
Delivery_person_ID             KOCRES14DEL03
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                10.027014
Restaurant_longitude               76.308053
Delivery_location_latitude         10.057014
Delivery_location_longitude        76.338053
Order_Date                        11-02-2022
Time_Orderd                            20:30
Time_Order_picked                      20:45
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 18462, dtype: object
