ID                                     0xb7b1
Delivery_person_ID             CHENRES01DEL01
Delivery_person_Age                 36.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 13.005801
Restaurant_longitude                80.250744
Delivery_location_latitude          13.045801
Delivery_location_longitude         80.290744
Order_Date                         28-03-2022
Time_Orderd                             15:55
Time_Order_picked                       16:05
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    17.000000
Name: 28661, dtype: object
