ID                                       0xcfc6
Delivery_person_ID                KOLRES15DEL02
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   22.552672
Restaurant_longitude                  88.352885
Delivery_location_latitude            22.632672
Delivery_location_longitude           88.432885
Order_Date                           14-02-2022
Time_Orderd                               17:45
Time_Order_picked                         17:55
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      32.000000
Name: 12914, dtype: object
