ID                                      0x72ac
Delivery_person_ID             COIMBRES06DEL01
Delivery_person_Age                  29.000000
Delivery_person_Ratings               4.500000
Restaurant_latitude                  11.021278
Restaurant_longitude                 76.995017
Delivery_location_latitude           11.031278
Delivery_location_longitude          77.005017
Order_Date                          28-03-2022
Time_Orderd                              10:55
Time_Order_picked                        10:60
Weather conditions                      Cloudy
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     11.000000
Name: 8638, dtype: object
