ID                                     0xdca3
Delivery_person_ID             AURGRES04DEL01
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 19.876106
Restaurant_longitude                75.340775
Delivery_location_latitude          19.986106
Delivery_location_longitude         75.450775
Order_Date                         18-02-2022
Time_Orderd                             23:25
Time_Order_picked                       23:30
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                                      NaN
Time_taken (min)                    22.000000
Name: 21057, dtype: object
