ID                                    0x44ab
Delivery_person_ID             JAPRES19DEL01
Delivery_person_Age                20.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                26.913726
Restaurant_longitude               75.752820
Delivery_location_latitude         27.023726
Delivery_location_longitude        75.862820
Order_Date                        18-03-2022
Time_Orderd                            20:20
Time_Order_picked                      20:30
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   40.000000
Name: 24483, dtype: object
