ID                                     0xba4c
Delivery_person_ID             INDORES13DEL02
Delivery_person_Age                 34.000000
Delivery_person_Ratings              3.600000
Restaurant_latitude                 22.745049
Restaurant_longitude                75.892471
Delivery_location_latitude          22.875049
Delivery_location_longitude         76.022471
Order_Date                         02-03-2022
Time_Orderd                             20:40
Time_Order_picked                       20:50
Weather conditions                 Sandstorms
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    31.000000
Name: 25746, dtype: object
