ID                                      0xa4c7
Delivery_person_ID             PUNERES010DEL03
Delivery_person_Age                  25.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  18.539299
Restaurant_longitude                 73.897902
Delivery_location_latitude           18.599299
Delivery_location_longitude          73.957902
Order_Date                          09-03-2022
Time_Orderd                              17:15
Time_Order_picked                        17:25
Weather conditions                  Sandstorms
Road_traffic_density                    Medium
Vehicle_condition                            2
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     27.000000
Name: 38457, dtype: object
