ID                                    0xc0ec
Delivery_person_ID             KOLRES20DEL02
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude               -22.514119
Restaurant_longitude               88.362504
Delivery_location_latitude         22.534119
Delivery_location_longitude        88.382504
Order_Date                        17-02-2022
Time_Orderd                            11:50
Time_Order_picked                      11:60
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   31.000000
Name: 3056, dtype: object
