ID                                    0x6c9a
Delivery_person_ID             HYDRES16DEL02
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                17.440827
Restaurant_longitude               78.393391
Delivery_location_latitude         17.570827
Delivery_location_longitude        78.523391
Order_Date                        02-03-2022
Time_Orderd                            20:20
Time_Order_picked                      20:35
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   31.000000
Name: 26327, dtype: object
