ID                                    0xbf52
Delivery_person_ID             KOLRES06DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                22.533662
Restaurant_longitude               88.366217
Delivery_location_latitude         22.573662
Delivery_location_longitude        88.406217
Order_Date                        15-02-2022
Time_Orderd                              NaN
Time_Order_picked                      14:55
Weather conditions                     Windy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   11.000000
Name: 3159, dtype: object
