ID                                       0x9fd5
Delivery_person_ID               BANGRES19DEL01
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   12.914264
Restaurant_longitude                  77.678400
Delivery_location_latitude            12.984264
Delivery_location_longitude           77.748400
Order_Date                           23-03-2022
Time_Orderd                               19:25
Time_Order_picked                         19:35
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 15240, dtype: object
