ID                                    0x8bfc
Delivery_person_ID             SURRES07DEL01
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                21.170798
Restaurant_longitude               72.790489
Delivery_location_latitude         21.210798
Delivery_location_longitude        72.830489
Order_Date                        01-03-2022
Time_Orderd                            12:20
Time_Order_picked                      12:35
Weather conditions                     Sunny
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   12.000000
Name: 38183, dtype: object
