ID                                       0x3eb5
Delivery_person_ID                JAPRES03DEL01
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   26.913483
Restaurant_longitude                  75.803139
Delivery_location_latitude            26.953483
Delivery_location_longitude           75.843139
Order_Date                           13-03-2022
Time_Orderd                               15:35
Time_Order_picked                         15:50
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 28844, dtype: object
