ID                                       0xdf43
Delivery_person_ID                ALHRES03DEL03
Delivery_person_Age                   36.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   25.451517
Restaurant_longitude                  81.832616
Delivery_location_latitude            25.591517
Delivery_location_longitude           81.972616
Order_Date                           16-02-2022
Time_Orderd                               18:40
Time_Order_picked                         18:45
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      30.000000
Name: 12414, dtype: object
