ID                                    0xc05f
Delivery_person_ID             DEHRES19DEL03
Delivery_person_Age                28.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude               -30.372202
Restaurant_longitude               78.077151
Delivery_location_latitude         30.432202
Delivery_location_longitude        78.137151
Order_Date                        15-02-2022
Time_Orderd                            20:10
Time_Order_picked                      20:15
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 37345, dtype: object
