ID                                        0x46a
Delivery_person_ID                HYDRES18DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   17.450851
Restaurant_longitude                  78.379347
Delivery_location_latitude            17.470851
Delivery_location_longitude           78.399347
Order_Date                           28-03-2022
Time_Orderd                                 NaN
Time_Order_picked                          8:15
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      19.000000
Name: 8680, dtype: object
