ID                                     0xb4dc
Delivery_person_ID             BANGRES02DEL03
Delivery_person_Age                 37.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 12.970221
Restaurant_longitude                77.645396
Delivery_location_latitude          13.030221
Delivery_location_longitude         77.705396
Order_Date                         03-03-2022
Time_Orderd                             19:15
Time_Order_picked                       19:20
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    21.000000
Name: 1977, dtype: object
