ID                                     0xdccc
Delivery_person_ID             LUDHRES02DEL01
Delivery_person_Age                     33.00
Delivery_person_Ratings                  4.90
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.04
Delivery_location_longitude              0.04
Order_Date                         11-02-2022
Time_Orderd                             16:40
Time_Order_picked                       16:45
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                      0.00
Festival                                   No
City                                    Urban
Time_taken (min)                        21.00
Name: 12519, dtype: object
