ID                                     0x982f
Delivery_person_ID             INDORES07DEL01
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 22.722634
Restaurant_longitude                75.886959
Delivery_location_latitude          22.732634
Delivery_location_longitude         75.896959
Order_Date                         01-03-2022
Time_Orderd                              8:15
Time_Order_picked                        8:25
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    19.000000
Name: 7615, dtype: object
