ID                                     0xae4b
Delivery_person_ID             INDORES12DEL01
Delivery_person_Age                  22.00000
Delivery_person_Ratings               4.60000
Restaurant_latitude                  22.74806
Restaurant_longitude                 75.89340
Delivery_location_latitude           22.85806
Delivery_location_longitude          76.00340
Order_Date                         27-03-2022
Time_Orderd                             20:25
Time_Order_picked                       20:40
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                   1.00000
Festival                                   No
City                                    Urban
Time_taken (min)                     18.00000
Name: 42254, dtype: object
