ID                                    0xbe49
Delivery_person_ID             HYDRES03DEL02
Delivery_person_Age                31.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                17.422819
Restaurant_longitude               78.449578
Delivery_location_latitude         17.502819
Delivery_location_longitude        78.529578
Order_Date                        29-03-2022
Time_Orderd                            19:55
Time_Order_picked                      19:60
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   42.000000
Name: 16026, dtype: object
