ID                                       0xb9cc
Delivery_person_ID                HYDRES01DEL02
Delivery_person_Age                   38.000000
Delivery_person_Ratings                3.700000
Restaurant_latitude                   17.410371
Restaurant_longitude                  78.437225
Delivery_location_latitude            17.540371
Delivery_location_longitude           78.567225
Order_Date                           04-04-2022
Time_Orderd                               17:35
Time_Order_picked                         17:40
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      32.000000
Name: 6410, dtype: object
