ID                                     0xdc13
Delivery_person_ID             LUDHRES09DEL01
Delivery_person_Age                 32.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 30.885814
Restaurant_longitude                75.786976
Delivery_location_latitude          30.895814
Delivery_location_longitude         75.796976
Order_Date                         11-02-2022
Time_Orderd                              9:15
Time_Order_picked                        9:30
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    21.000000
Name: 32467, dtype: object
