ID                                    0xdf20
Delivery_person_ID             GOARES15DEL01
Delivery_person_Age                 27.00000
Delivery_person_Ratings              5.00000
Restaurant_latitude                 15.51315
Restaurant_longitude                73.78346
Delivery_location_latitude          15.55315
Delivery_location_longitude         73.82346
Order_Date                        15-02-2022
Time_Orderd                            16:10
Time_Order_picked                      16:20
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                  1.00000
Festival                                  No
City                           Metropolitian
Time_taken (min)                    26.00000
Name: 27413, dtype: object
