ID                                    0xd20e
Delivery_person_ID             AGRRES05DEL02
Delivery_person_Age                33.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                27.201725
Restaurant_longitude               78.007553
Delivery_location_latitude         27.221725
Delivery_location_longitude        78.027553
Order_Date                        15-02-2022
Time_Orderd                            10:40
Time_Order_picked                      10:45
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   16.000000
Name: 36233, dtype: object
