ID                                    0xd18a
Delivery_person_ID             KNPRES07DEL01
Delivery_person_Age                25.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                26.472001
Restaurant_longitude               80.354002
Delivery_location_latitude         26.512001
Delivery_location_longitude        80.394002
Order_Date                        13-02-2022
Time_Orderd                            14:30
Time_Order_picked                      14:35
Weather conditions                    Stormy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   22.000000
Name: 34221, dtype: object
