ID                                     0xbef0
Delivery_person_ID             AURGRES16DEL01
Delivery_person_Age                     36.00
Delivery_person_Ratings                  4.40
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.11
Delivery_location_longitude              0.11
Order_Date                         18-02-2022
Time_Orderd                             22:50
Time_Order_picked                       22:55
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                      2.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        42.00
Name: 29808, dtype: object
