ID                                     0xdabb
Delivery_person_ID             AURGRES15DEL02
Delivery_person_Age                 30.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 19.878028
Restaurant_longitude                75.317475
Delivery_location_latitude          19.898028
Delivery_location_longitude         75.337475
Order_Date                         13-02-2022
Time_Orderd                             11:60
Time_Order_picked                       12:15
Weather conditions                      Sunny
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    19.000000
Name: 5972, dtype: object
