ID                                       0xd2ff
Delivery_person_ID                AGRRES16DEL01
Delivery_person_Age                       38.00
Delivery_person_Ratings                    4.40
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.07
Delivery_location_longitude                0.07
Order_Date                           12-02-2022
Time_Orderd                               18:35
Time_Order_picked                         18:45
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                        2.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          38.00
Name: 512, dtype: object
