ID                                     0xd3d
Delivery_person_ID             MYSRES05DEL01
Delivery_person_Age                25.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                12.323978
Restaurant_longitude               76.627961
Delivery_location_latitude         12.333978
Delivery_location_longitude        76.637961
Order_Date                        07-03-2022
Time_Orderd                            11:40
Time_Order_picked                      11:55
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 31272, dtype: object
