ID                                      0x6f70
Delivery_person_ID             COIMBRES02DEL01
Delivery_person_Age                  30.000000
Delivery_person_Ratings               4.500000
Restaurant_latitude                  11.022477
Restaurant_longitude                 76.995667
Delivery_location_latitude           11.032477
Delivery_location_longitude          77.005667
Order_Date                          26-03-2022
Time_Orderd                               9:15
Time_Order_picked                         9:25
Weather conditions                         Fog
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     19.000000
Name: 33284, dtype: object
