ID                                        0xaed
Delivery_person_ID             RANCHIRES16DEL03
Delivery_person_Age                   31.000000
Delivery_person_Ratings                4.000000
Restaurant_latitude                   23.371292
Restaurant_longitude                  85.327872
Delivery_location_latitude            23.461292
Delivery_location_longitude           85.417872
Order_Date                           08-03-2022
Time_Orderd                               18:15
Time_Order_picked                         18:20
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             0
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      34.000000
Name: 22998, dtype: object
