ID                                     0xd1c6
Delivery_person_ID             LUDHRES05DEL01
Delivery_person_Age                 37.000000
Delivery_person_Ratings              4.400000
Restaurant_latitude                 30.905562
Restaurant_longitude                75.832841
Delivery_location_latitude          31.015562
Delivery_location_longitude         75.942841
Order_Date                         14-02-2022
Time_Orderd                             20:15
Time_Order_picked                       20:25
Weather conditions                 Sandstorms
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    34.000000
Name: 39319, dtype: object
