ID                                    0xcd24
Delivery_person_ID             KNPRES04DEL03
Delivery_person_Age                39.000000
Delivery_person_Ratings             3.700000
Restaurant_latitude                26.471529
Restaurant_longitude               80.313458
Delivery_location_latitude         26.611529
Delivery_location_longitude        80.453458
Order_Date                        12-02-2022
Time_Orderd                            22:25
Time_Order_picked                      22:35
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   39.000000
Name: 12921, dtype: object
