ID                                        0x9ef
Delivery_person_ID                MUMRES08DEL02
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   19.065838
Restaurant_longitude                  72.832658
Delivery_location_latitude            19.195838
Delivery_location_longitude           72.962658
Order_Date                           16-03-2022
Time_Orderd                               17:40
Time_Order_picked                         17:55
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      32.000000
Name: 3968, dtype: object
