ID                                      0xae3b
Delivery_person_ID             COIMBRES06DEL01
Delivery_person_Age                  27.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.021278
Restaurant_longitude                 76.995017
Delivery_location_latitude           11.091278
Delivery_location_longitude          77.065017
Order_Date                          06-04-2022
Time_Orderd                              22:10
Time_Order_picked                        22:15
Weather conditions                       Windy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     23.000000
Name: 13277, dtype: object
