ID                                    0x1bc8
Delivery_person_ID             MYSRES08DEL02
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                12.297954
Restaurant_longitude               76.665169
Delivery_location_latitude         12.317954
Delivery_location_longitude        76.685169
Order_Date                        17-03-2022
Time_Orderd                             8:25
Time_Order_picked                       8:35
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 3651, dtype: object
