ID                                    0x47ca
Delivery_person_ID             SURRES02DEL01
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                21.186608
Restaurant_longitude               72.794136
Delivery_location_latitude         21.296608
Delivery_location_longitude        72.904136
Order_Date                        14-03-2022
Time_Orderd                            19:50
Time_Order_picked                      19:55
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 2190, dtype: object
