ID                                       0x458b
Delivery_person_ID                SURRES03DEL03
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.400000
Restaurant_latitude                   21.186884
Restaurant_longitude                  72.793616
Delivery_location_latitude            21.276884
Delivery_location_longitude           72.883616
Order_Date                           02-04-2022
Time_Orderd                               20:20
Time_Order_picked                         20:35
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      42.000000
Name: 22777, dtype: object
