ID                                    0xbb82
Delivery_person_ID             JAPRES20DEL02
Delivery_person_Age                33.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                26.956431
Restaurant_longitude               75.776649
Delivery_location_latitude         27.036431
Delivery_location_longitude        75.856649
Order_Date                        02-03-2022
Time_Orderd                            21:40
Time_Order_picked                      21:50
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   53.000000
Name: 15385, dtype: object
