ID                                       0xa25a
Delivery_person_ID               PUNERES12DEL01
Delivery_person_Age                   33.000000
Delivery_person_Ratings                3.800000
Restaurant_latitude                   18.520016
Restaurant_longitude                  73.830547
Delivery_location_latitude            18.590016
Delivery_location_longitude           73.900547
Order_Date                           20-03-2022
Time_Orderd                               21:55
Time_Order_picked                         22:10
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      33.000000
Name: 15479, dtype: object
