ID                                       0x634c
Delivery_person_ID                SURRES12DEL01
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   21.183434
Restaurant_longitude                  72.814492
Delivery_location_latitude            21.223434
Delivery_location_longitude           72.854492
Order_Date                           03-03-2022
Time_Orderd                               15:55
Time_Order_picked                         16:05
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      25.000000
Name: 9903, dtype: object
