ID                                      0x9b5e
Delivery_person_ID             COIMBRES11DEL01
Delivery_person_Age                  22.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.001753
Restaurant_longitude                 76.986241
Delivery_location_latitude           11.111753
Delivery_location_longitude          77.096241
Order_Date                          31-03-2022
Time_Orderd                              17:50
Time_Order_picked                        18:05
Weather conditions                      Stormy
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     28.000000
Name: 28020, dtype: object
