ID                                       0xc820
Delivery_person_ID                DEHRES04DEL01
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.000000
Restaurant_latitude                   30.340722
Restaurant_longitude                  78.060221
Delivery_location_latitude            30.410722
Delivery_location_longitude           78.130221
Order_Date                           18-02-2022
Time_Orderd                               20:30
Time_Order_picked                         20:40
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      42.000000
Name: 402, dtype: object
