ID                                     0xdd36
Delivery_person_ID             AURGRES09DEL01
Delivery_person_Age                 28.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 19.874103
Restaurant_longitude                75.368419
Delivery_location_latitude          19.914103
Delivery_location_longitude         75.408419
Order_Date                         17-02-2022
Time_Orderd                             14:45
Time_Order_picked                       14:50
Weather conditions                     Stormy
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    11.000000
Name: 22928, dtype: object
