ID                                       0xc134
Delivery_person_ID                KNPRES12DEL03
Delivery_person_Age                   38.000000
Delivery_person_Ratings                     NaN
Restaurant_latitude                   26.492106
Restaurant_longitude                  80.327797
Delivery_location_latitude            26.582106
Delivery_location_longitude           80.417797
Order_Date                           18-02-2022
Time_Orderd                               20:55
Time_Order_picked                         21:10
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      38.000000
Name: 18198, dtype: object
