ID                                      0x9b2c
Delivery_person_ID             COIMBRES12DEL01
Delivery_person_Age                  23.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  11.000762
Restaurant_longitude                 76.981876
Delivery_location_latitude           11.070762
Delivery_location_longitude          77.051876
Order_Date                          27-03-2022
Time_Orderd                              18:10
Time_Order_picked                        18:15
Weather conditions                         Fog
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     25.000000
Name: 39046, dtype: object
