ID                                        0x4e9
Delivery_person_ID               CHENRES13DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   13.027018
Restaurant_longitude                  80.254791
Delivery_location_latitude            13.097018
Delivery_location_longitude           80.324791
Order_Date                           10-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         21:55
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      42.000000
Name: 17505, dtype: object
