ID                                     0x9cc3
Delivery_person_ID             CHENRES15DEL02
Delivery_person_Age                 31.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 13.026286
Restaurant_longitude                80.275235
Delivery_location_latitude          13.156286
Delivery_location_longitude         80.405235
Order_Date                         20-03-2022
Time_Orderd                             20:40
Time_Order_picked                       20:45
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    50.000000
Name: 36013, dtype: object
