ID                                       0x3dc3
Delivery_person_ID                HYDRES04DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   17.411028
Restaurant_longitude                  78.329645
Delivery_location_latitude            17.451028
Delivery_location_longitude           78.369645
Order_Date                           01-03-2022
Time_Orderd                               16:10
Time_Order_picked                         16:20
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      20.000000
Name: 2737, dtype: object
