ID                                     0xb6a5
Delivery_person_ID             HYDRES010DEL01
Delivery_person_Age                 33.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 17.428294
Restaurant_longitude                78.404423
Delivery_location_latitude          17.468294
Delivery_location_longitude         78.444423
Order_Date                         15-03-2022
Time_Orderd                             12:60
Time_Order_picked                       13:10
Weather conditions                        Fog
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    32.000000
Name: 15230, dtype: object
